BUSINESS_NAME,OFFICE_ADDRESS1,OFFICE_ADDRESS2,OFFICE_CITY,OFFICE_STATE,OFFICE_ZIPCODE,OFFICE_TELEPHONE,OFFICE_WEBSITE,ADVISOR_NAME,ADVISOR_EMAIL,ADVISOR_ID
"DIESSLIN GROUP, INC.",425 HOUSTON STREET,SUITE 500,FORT WORTH,TX,76102-7411,8173326122,WWW.DIESSLIN.COM,Kenneth Wyman,Kenneth.Wyman@DIESSLIN.COM,110557
VESTWELL ADVISORS LLC,22 WEST 38TH STREET,10TH FLOOR,NEW YORK,NY,10018,6469021401,WWW.VESTWELL.COM,Jose Ruiz,Jose.Ruiz@VESTWELL.COM,284173
"THOROFARE, LLC",633 WEST FIFTH STREET,SUITE 2200,LOS ANGELES,CA,90071,2138734003,WWW.THOROFARECAPITAL.COM,Walter Brown,Walter.Brown@THOROFARECAPITAL.COM,171293
CONRAD SIEGEL INVESTMENT ADVISORS,501 CORPORATE CIRCLE,,HARRISBURG,PA,17110,7176525633,WWW.MY-BENEFITS-INFO.COM,Julio Ruiz Montenegro,Julio.Ruiz Montenegro@MY-BENEFITS-INFO.COM,123560
"MINICHMACGREGOR WEALTH MANAGEMENT, LLC",21 CONGRESS STREET,SUITE 203,SARATOGA SPRINGS,NY,12866,5184994565,WWW.MMWEALTH.COM,Rick Maggs,Rick.Maggs@MMWEALTH.COM,151237
NOVUS ADVISORS,14 SOUTH MAIN STREET,SUITE 200,GREENVILLE,SC,29601,8642723579,WWW.NOVUSADVS.COM,Mitchell Zupanek,Mitchell.Zupanek@NOVUSADVS.COM,157908
"CONFIDENTIAL PLANNING I, LLC","507 PLUM ST, STE 120",,SYRACUSE,NY,13204,3152511101,WWW.CPCFS.COM,Frank Brockman,Frank.Brockman@CPCFS.COM,145807
"ACCESS WEALTH PLANNING, LLC",4 BECKER FARM ROAD,1ST FLOOR,ROSELAND,NJ,07068,9737402400,WWW.AWPLAN.COM,Mike Hinkle,Mike.Hinkle@AWPLAN.COM,112973
SNOW CREEK WEALTH MANAGEMENT,905 HARPETH VALLEY PLACE,,NASHVILLE,TN,37221,6156737795,WWW.SNOWCREEKWEALTH.COM,Daniel Vandamme,Daniel.Vandamme@SNOWCREEKWEALTH.COM,142983
"FAMILY WMS, LLC",3155 ROSWELL ROAD,SUITE 320,ATLANTA,GA,30305,4049611051,WWW.FAMILYWMS.COM,Christopher Casto,Christopher.Casto@FAMILYWMS.COM,126456
"ROSEMARK ADVISORS, INC.",145 MARCUS BLVD.,SUITE 1,HAUPPAUGE,NY,11788,6316992664,ROSEMARKADVISORS.COM,Joseph Robinson,Joseph.Robinson@ROSEMARKADVISORS.COM,173677
"RESOURCE INVESTMENT ARCHITECTS, INC.",34 PETALUMA BLVD. N.,,PETALUMA,CA,94952-3002,7077637861,WWW.INVESTMENTARCHITECTS.COM,Robert Tiedeman,Robert.Tiedeman@INVESTMENTARCHITECTS.COM,111894
STERLING CAPITAL MANAGEMENT,12300 OLD TESSON ROAD,SUITE 100C,ST.LOUIS,MO,63128-2228,3148439999,WWW.SCMSTL.COM,Aries Waters,Aries.Waters@SCMSTL.COM,105793
"WALLEYE TRADING ADVISORS, LLC",2800 NIAGARA LANE NORTH,,PLYMOUTH,MN,55447,9523455200,WWW.WALLEYETRADING.COM,Greg Lenderink,Greg.Lenderink@WALLEYETRADING.COM,161413
"WEALTHJAR INVESTMENT ADVISORY, LLC","1099 ALAKEA ST.,",SUITE 2510,HONOLULU,HI,96813,8085857788,WWW.MYWEALTHJAR.COM,Noe Ortiz,Noe.Ortiz@MYWEALTHJAR.COM,288484
"RELATED FUND MANAGEMENT, LLC",60 COLUMBUS CIRCLE,20TH FLOOR,NEW YORK,NY,10023,2128011000,WWW.RELATED.COM,Guy McMains,Guy.McMains@RELATED.COM,156543
CRAMER ROSENTHAL MCGLYNN LLC,520 MADISON AVENUE,20TH FLOOR,NEW YORK,NY,10022,2123265300,WWW.CRMFUNDS.COM,James Morse,James.Morse@CRMFUNDS.COM,107911
CANTERBURY CONSULTING INCORPORATED,610 NEWPORT CENTER DRIVE,SUITE 500,NEWPORT BEACH,CA,92660-6404,9497219580,WWW.CANTERBURYCONSULTING.COM,William Holtz,William.Holtz@CANTERBURYCONSULTING.COM,22875
"MAIN STREET FINANCIAL LIFE ADVISORS, LLC",212 W. ROUTE 38,SUITE 600,MOORESTOWN,NJ,08057,8562343550,WWW.MAINSTREEFLA.COM,Ronald Alexander,Ronald.Alexander@MAINSTREEFLA.COM,118544
"TRAUST SOLLUS WEALTH MANAGEMENT, LLC",103 CARNEGIE CENTER,SUITE 205,PRINCETON,NJ,08540,6097796700,WWW.TSWEALTH.COM,Calvin Brown Jr,Calvin.Brown Jr@TSWEALTH.COM,108918
"MERCADIEN ASSET MANAGEMENT, LLC",3625 QUAKERBRIDGE ROAD,,HAMILTON,NJ,08619,6096899700,WWW.MERCADIEN.COM,Nathan Dempsey,Nathan.Dempsey@MERCADIEN.COM,121546
MACRO CONSULTING GROUP,1639 ROUTE 10 EAST,1ST FLOOR,PARSIPPANY,NJ,07054,9734519400,WWW.MACROCONSULTINGGROUP.COM,Jorge Corrugedo,Jorge.Corrugedo@MACROCONSULTINGGROUP.COM,108755
"SPECTRUM INVESTMENT ADVISORS, INC.",6329 WEST MEQUON ROAD,,MEQUON,WI,53092,2622384010,WWW.SPECTRUMINVESTOR.COM,Felix Avitia Munoz,Felix.Avitia Munoz@SPECTRUMINVESTOR.COM,108669
"CAPITAL INVESTMENT SERVICES, INC.",140 W GAY ST,SUITE 200,WEST CHESTER,PA,19380,4843569444,WWW.CAPITALSVS.COM,Miguel Vargas,Miguel.Vargas@CAPITALSVS.COM,120357
"THE WHARTON ADVISORY GROUP, LLC",148 EAST LANCASTER AVENUE,,WAYNE,PA,19087,6102939000,WWW.WHARTONAG.COM,Guillermo Reyes,Guillermo.Reyes@WHARTONAG.COM,120522
FCE GROUP,3 DAKOTA DRIVE,SUITE 310,LAKE SUCCESS,NY,11042,5164878220,WWW.FCEQUITIES.COM,Larry Huntley,Larry.Huntley@FCEQUITIES.COM,111457
RAMSEY & ASSOCIATES INC,1730 N. NORTHLAKE WAY,SUITE 3301,SEATTLE,WA,98103,2063241950,WWW.RAMSEYASSOC.COM,Kevin Bogue,Kevin.Bogue@RAMSEYASSOC.COM,109475
REGAL WEALTH GROUP INC.,"12501 SEAL BEACH BLVD, SUITE 280",,SEAL BEACH,CA,90740,5627991929,WWW.REGALWEALTHGROUP.COM,Rodney Estes,Rodney.Estes@REGALWEALTHGROUP.COM,138374
"SUMNICHT & ASSOCIATES, LLC",W6240 COMMUNICATION COURT,SUITE #1,APPLETON,WI,54914-8549,9207314455,WWW.SUMNICHT.COM,Mark Ashburn,Mark.Ashburn@SUMNICHT.COM,111421
THE COURY FIRM,260 FORBES AVENUE,SUITE 1600,PITTSBURGH,PA,15222,4122615744,WWW.COURYFIRM.COM,Noel Urbina,Noel.Urbina@COURYFIRM.COM,289145
CARLISLE TAX CREDIT ADVISORS,263 SUMMER ST.,6TH FLOOR,BOSTON,MA,02210,6175008620,WWW.CARLISLETAXCREDITS.COM,Christopher Corcoran,Christopher.Corcoran@CARLISLETAXCREDITS.COM,151461
PFM ASSET MANAGEMENT LLC,213 MARKET STREET,,HARRISBURG,PA,17101-2141,7172316200,WWW.PFM.COM,Steven Vialpando,Steven.Vialpando@PFM.COM,122141
FEDERATED INVESTMENT COUNSELING,FEDERATED INVESTORS TOWER,1001 LIBERTY AVENUE,PITTSBURGH,PA,15222-3779,4122881900,FEDERATEDINVESTORS.COM,Aniseto Romero,Aniseto.Romero@FEDERATEDINVESTORS.COM,105325
LANDMARK PARTNERS LLC,ATTN: ANTOINETTE LAZARUS,10 MILL POND LANE,SIMSBURY,CT,06070-2429,8606519760,WWW.LANDMARKPARTNERS.COM,Gary Mauser,Gary.Mauser@LANDMARKPARTNERS.COM,156871
CWS CAPITAL PARTNERS LLC,14 CORPORATE PLAZA,STE. 210,NEWPORT BEACH,CA,92660,8004660020,WWW.CWSCAPITAL.COM,Robert Huber,Robert.Huber@CWSCAPITAL.COM,166871
